"","event_id","lat","long","year"
"1","2013-0200-CHN",23.6387,114.46,"2013"
"2","2013-0552-BRA",-18.9538,-41.94,"2013"
"3","2013-0242-CHN",34.512,104.262,"2013"
"4","2013-0314-CHN",28.2425,99.3502,"2013"
"5","2013-0235-IDN",4.645,96.665,"2013"
"6","2013-0063-IDN",1.0256,124.51,"2013"
"7","2013-0192-IND",32.714,76.61,"2013"
"8","2013-0123-KEN",2.46174,36.72,"2013"
"9","2013-0272-CHN",22.7696,113.69,"2013"
"10","2013-0151-AFG",34.526,70.22,"2013"
"11","2013-0178-AFG",36.9291,68.85,"2013"
"12","2013-0119-ARG",-34.4809,-58.68,"2013"
"13","2013-0190-CAN",51.24,-109.64,"2013"
"14","2013-0081-CHN",25.98,99.812,"2013"
"15","2013-0116-CHN",30.308,102.888,"2013"
"16","2013-0470-CHN",44.5993,124.1681,"2013"
"17","2013-0555-CHN",31.066,110.412,"2013"
"18","2013-0563-CHN",25.953,99.782,"2013"
"19","2013-0581-CHN",40.253,78.944,"2013"
"20","2013-0259-CHN",30.4563,104.02,"2013"
"21","2013-0273-CHN",35.9161,100.18,"2013"
"22","2013-0261-CHN",25.8633,118.14,"2013"
"23","2013-0058-COL",1.135,-77.393,"2013"
"24","2013-0511-CUB",22.9043,-81.4,"2013"
"25","2013-0205-DEU",49.1358,12.11,"2013"
"26","2013-0572-GBR",53.2732,-1.51,"2013"
"27","2013-0405-GTM",14.6056,-92.1207,"2013"
"28","2013-0121-HUN",47.624,20.227,"2013"
"29","2013-0020-IDN",4.927,95.907,"2013"
"30","2013-0436-IDN",5.1033,95.9709,"2013"
"31","2013-0542-IDN",3.17,98.392,"2013"
"32","2013-0007-IDN",-6.17945,106.73,"2013"
"33","2013-0034-IDN",-0.86702,121.88,"2013"
"34","2013-0541-IDN",4.48013,97.29,"2013"
"35","2013-0140-IND",33.061,75.863,"2013"
"36","2013-0282-IND",27.387,94.92,"2013"
"37","2013-0098-IRN",28.428,51.593,"2013"
"38","2013-0099-IRN",28.033,61.996,"2013"
"39","2013-0516-IRN",29.32,51.31,"2013"
"40","2013-0441-ITA",40.3,9.01,"2013"
"41","2013-0127-JPN",34.369,134.828,"2013"
"42","2013-0281-KEN",1.66076,35.21,"2013"
"43","2013-0305-KEN",0.058024,36.52,"2013"
"44","2013-0531-VCT",13.9188,-60.99,"2013"
"45","2013-0438-SOM",21.68,57.43,"2013"
"46","2013-0274-PHL",16.3191,121.14,"2013"
"47","2013-0243-PRK",39.6151,126.32,"2013"
"48","2013-0029-SLB",-10.799,165.114,"2013"
"49","2013-0039-LKA",7.59777,80.92,"2013"
"50","2013-0061-MKD",42.0408,21.58,"2013"
"51","2013-0263-MMR",18.3122,98.16,"2013"
"52","2013-0011-MOZ",-24.8006,32.68,"2013"
"53","2013-0079-MUS",-20.2305,57.52,"2013"
"54","2013-0011-MWI",-15.6178,35.02,"2013"
"55","2013-0535-MYS",3.58444,102.36,"2013"
"56","2013-0534-NER",15.0103,13.2,"2013"
"57","2013-0268-NZL",-41.704,174.337,"2013"
"58","2013-0099-PAK",28.033,61.996,"2013"
"59","2013-0381-PAK",26.951,65.5009,"2013"
"60","2013-0484-PAK",27.1825,65.5052,"2013"
"61","2013-0276-PAK",28.7404,69.11,"2013"
"62","2013-0409-PER",-15.8385,-74.5112,"2013"
"63","2013-0056-PER",-20.3461,-69.09,"2013"
"64","2013-0395-PHL",9.8796,124.1167,"2013"
"65","2013-0214-PRY",-24.146,-57.65,"2013"
"66","2013-0040-PSE",32.83,36.45,"2013"
"67","2013-0278-RUS",50.0043,128.42,"2013"
"68","2013-0303-RUS",44.3289,39.25,"2013"
"69","2013-0445-SAU",27.41,44.81,"2013"
"70","2013-0280-SDN",13.6883,28.99,"2013"
"71","2013-0288-SOM",2.16964,43.66,"2013"
"72","2013-0533-THA",7.2182,100.39,"2013"
"73","2013-0206-TWN",23.789,121.141,"2013"
"74","2013-0561-TWN",23.828,121.215,"2013"
"75","2013-0277-USA",38.2138,-94.15,"2013"
"76","2013-0286-USA",28.899,-98.89,"2013"
"77","2013-0291-USA",38.8278,-88.64,"2013"
"78","2013-0510-USA",30.66,-96.01,"2013"
"79","2013-0558-USA",37.5597,-86.79,"2013"
"80","2013-0443-VNM",15.58,107.7,"2013"
